descr,bitcoin-cash,dogecoin,z,x_dif,y_dif,trade_pnl,date,cumulative_pnl
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-25,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-26,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-27,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-28,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-30,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-31,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-02,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-03,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-04,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-05,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-06,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-07,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-08,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-09,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-10,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-11,0.16318706919874404
close long,276.1909484863281,0.08460340648889542,0.2565876543521881,0.12263161629132423,0.11976841525423645,0.002863201037087773,2024-01-12,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-13,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-14,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-15,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-16,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-18,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-19,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-20,0.1660502702358318
long,238.80569458007812,0.08768447488546371,-1.0120097398757935,-0.13536017060349329,0.03641778179431466,0.0,2024-01-21,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-22,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-23,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-24,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-25,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-26,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-27,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-28,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-29,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-30,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-31,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-02,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-03,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-04,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-05,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-06,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-07,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-08,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-09,0.1660502702358318
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-10,0.1660502702358318
